Variable,Datatype,Description,Variable Type,Example
order_id                      ,object,unique id number for each order,categorical,'00010242fe8c5a6d1ba2dd792cb16214'
product_id                    ,object,unique id number for each product,categorical,'4244733e06e7ecb4970a6e2683c13e61'
seller_id                     ,object,unique id number for each seller,categorical,'48436dade18ac8b2bce089ec2a041202'
shipping_limit_date           ,datetime64[ns],seller shipping limit date for handling the order over to the logistic partner,continuous,'2017-09-19 09:45:35'
price                         ,float64,price of the item,discrete,58.9
freight_value                 ,float64,item freight value item (if an order has more than one item the freight value is split between items),discrete,13.29
order_purchase_timestamp      ,datetime64[ns],time and date of purchase,continuous,'2017-09-13 08:59:02'
order_delivered_carrier_date  ,datetime64[ns],time and date of delivery to courier,continuous,'2017-09-19 18:34:16'
order_delivered_customer_date ,datetime64[ns],time and date of delivery to customer,continuous,'2017-09-20 23:43:48'
order_estimated_delivery_date ,datetime64[ns],estimated delivery date given to customer at time of purchase,discrete,'2017-09-29 00:00:00'
product_name_len              ,int64,number of characters extracted from the product name,discrete,58
product_description_len       ,int64,number of characters extracted from the product description,discrete,598
product_photos_qty            ,int64,number of product photos published,discrete,4
product_weight_g              ,float64,weight of product,continuous,650
product_length_cm             ,float64,length of product,continuous,28
product_height_cm             ,float64,height of product,continuous,9
product_width_cm              ,float64,width of product,continuous,14
product_category_name_english ,object,product category name translated to english,categorical,'cool_stuff'
seller_city                   ,object,seller city location,categorical,'volta redonda'
seller_state                  ,object,seller state location,categorical,'SP'
customer_unique_id            ,object,unique id number for each customer,categorical,'871766c5855e863f6eccc05f988b23cb'
customer_zip_code_prefix      ,object,zip code prefix of customers delivery address,categorical,28013
customer_city                 ,object,customer city location,categorical,'campos dos goytacazes'
customer_state                ,object,customer state location,categorical,'RJ'
payment_type                  ,object,method of payment chosen by the customer,categorical,'credit_card'
payment_installments          ,int64,number of installments chosen by the customer,discrete,2
payment_value                 ,float64,overall order value,continuous,72.19
review_score                  ,int64,rating of 1 to 5 given by the customer on a satisfaction survey,discrete,5
