product_name,product_name_2,customer_name
America passbook,button Romania,1
America passbook,deposit Bangladesh,1
Barbara motorcycle,cattle meat,1
CD owner,scraper Maria,1
Carol ease,alley buffet,1
Carol revolver,glass mallet,1
Carol revolver,timbales carnation,1
Charles flower,May sweater,1
Charles flower,feeling hat,1
Charles flower,karate tugboat,2
Charles flower,mustard judge,1
Charles flower,work poultry,1
Christmas hill,microwave kamikaze,1
Christmas hill,sweatshop moustache,1
Congo cause,gear meeting,1
Daniel overcoat,semicolon fedelini,6
David database,beret sweatshirt,1
Donald panties,eel napkin,1
Egypt income,karate July,1
Elizabeth tiger,cough anteater,1
Elizabeth tiger,wind taste,2
Europe law,aunt green,1
Europe law,lead prose,1
February Africa,current feather,1
February Africa,rutabaga dry,1
February Africa,salary ceiling,2
French society,flower governor,1
French society,pendulum Aquarius,1
German nerve,surfboard catamaran,1
German nerve,syrup icebreaker,1
Iraq disgust,crow manicure,1
Iraq disgust,raincoat psychology,2
January patient,secretary rail,2
January physician,aunt leg,1
January physician,broker ethernet,1
January physician,duckling court,2
Japan hyena,dahlia Libra,1
John cheese,state printer,1
John pie,flame Thomas,1
Libra shake,opinion bow,1
Margaret bonsai,harmony almanac,1
Margaret bonsai,weight check,1
May sweater,karate tugboat,1
Mexico sneeze,scraper coffee,1
Michael lace,sousaphone bell,1
Morocco temperature,eyebrow crowd,1
Morocco temperature,ornament receipt,1
Myanmar bus,fountain wholesaler,1
Myanmar bus,shirt flood,1
Richard maid,microwave kamikaze,2
Saudi Arabia blue,drug consonant,6
Siberian cello,riddle whale,1
South Korea goal,country Italian,1
South Korea goal,parallelogram preface,1
South Korea goal,transmission pink,1
Swiss cabinet,lute grease,1
TV cultivator,cough anteater,1
TV cultivator,expansion boot,1
TV cultivator,product protocol,1
TV cultivator,system barge,1
William llama,dugout milkshake,1
William llama,message Peru,1
accordion Margaret,chick statement,1
actor weeder,distribution sleet,1
actor weeder,screwdriver bomb,1
advertisement squash,spinach bee,1
aftershave flugelhorn,glue bed,1
agreement pentagon,cycle lawyer,1
airport argument,shrimp Joseph,2
airship glue,cave copy,1
algebra ex-wife,geology overcoat,1
alibi building,chick statement,1
alibi building,sail tugboat,1
alley buffet,creature gorilla,1
alto Claus,course Barbara,1
aluminum mandolin,attic structure,1
aluminum mandolin,bankbook herring,1
ambulance community,icon tip,1
answer gray,collision cod,1
answer gray,ox snowman,1
apartment pancreas,lily November,1
arch segment,current feather,1
arch segment,patch cone,1
arch segment,state printer,1
arithmetic lion,sturgeon friend,1
army face,motion range,1
army face,policeman backbone,1
art underwear,canoe grasshopper,1
art underwear,chin drain,1
athlete crawdad,health forest,1
athlete crawdad,product protocol,1
attack library,pressure mom,1
attack library,temple tadpole,1
attic structure,pendulum larch,1
attic structure,writer raincoat,1
attraction pantyhose,hen margin,1
attraction pantyhose,measure Sphynx,1
aunt dinghy,politician pin,1
aunt leg,limit Lisa,1
back cowbell,grip decade,2
bagel passive,utensil scallion,1
bakery cold,current feather,1
balance mark,begonia decade,1
balance mark,cloth Kenneth,1
banjo cent,crow manicure,1
bank temple,grain dedication,1
basket cave,deal mirror,1
bee step-uncle,environment anatomy,1
beer metal,pain bottom,1
beet meter,top battery,1
begonia decade,cloth Kenneth,1
begonia decade,island purple,1
begonia decade,rise doctor,1
begonia decade,sundial lift,3
believe creature,stamp hacksaw,1
bench literature,margin balance,1
bicycle deficit,flat detective,1
bicycle deficit,pendulum larch,2
bird Bengal,dog reason,1
blade arm,hand step-uncle,1
blade arm,rayon enemy,7
broker ethernet,duckling court,1
broker theater,carp ice,1
broker theater,cough tulip,1
broker theater,hurricane pipe,1
broker theater,utensil scallion,1
button Romania,trick processing,1
buzzard thread,cloth Kenneth,1
buzzard thread,middle railway,1
buzzard thread,trombone carpenter,4
cabbage bead,trombone carpenter,1
cable ptarmigan,fountain wholesaler,1
cable ptarmigan,partridge trouble,1
cafe advertisement,grip decade,2
cake willow,panda radio,1
cake willow,pump Daniel,1
camel cartoon,soldier glockenspiel,1
caption time,ice mail,2
caption time,island purple,1
caption time,road policeman,1
cardboard poppy,unit difference,1
carp ice,size vest,1
cathedral voyage,syrup icebreaker,1
cell duckling,product protocol,1
cement neck,daisy duck,5
cent area,state printer,1
certification select,crayon icebreaker,1
certification select,icon tip,1
certification select,law icon,1
certification select,utensil scallion,1
chick statement,herring hair,1
chick statement,year playground,1
chimpanzee drum,key animal,1
chin drain,lamp height,2
chin drain,rise mercury,1
chin drain,samurai block,1
chocolate halibut,slip cymbal,1
cinema booklet,edger sandwich,1
circle condor,pendulum larch,2
cloth Kenneth,middle railway,3
cloth Kenneth,poet commission,1
cloth Kenneth,trombone carpenter,1
cloudy industry,hurricane pipe,1
cloudy receipt,freckle sundial,1
cloudy receipt,macaroni band,1
comparison time,rock place,1
comparison time,timbales carnation,1
composition lier,ounce mist,1
consonant avenue,geography pantyhose,1
consonant avenue,soccer armed,1
control processing,sea plant,1
cormorant hyena,shake violin,1
cormorant hyena,suggestion sidewalk,1
cough anteater,elbow novel,2
cough anteater,transmission pink,1
cough anteater,wind taste,1
cough tulip,macaroni band,3
country Italian,step-uncle boot,1
court attempt,liquor bay,1
court attempt,parallelogram preface,1
court attempt,shake violin,1
cover blanket,shake violin,1
cowbell Indonesia,jelly Manx,1
craftsman quill,gear meeting,3
craftsman quill,herring hair,1
craftsman quill,pedestrian texture,1
crayon icebreaker,disease vest,1
crayon icebreaker,garden river,3
crayon icebreaker,icon tip,7
crayon icebreaker,knot middle,6
crayon icebreaker,law icon,14
crayon icebreaker,ramie canoe,1
crayon icebreaker,utensil scallion,2
creature gorilla,process streetcar,1
crime partner,epoxy cyclone,1
crocus promotion,skate puppy,1
crow manicure,great-grandmother cello,1
crow manicure,party inventory,2
crow manicure,raincoat psychology,1
current feather,helicopter maid,1
current feather,law icon,1
current feather,patch cone,3
current feather,state printer,1
cycle brush,surfboard catamaran,1
cycle lawyer,law icon,1
cycle lawyer,poet commission,1
dahlia Jason,narcissus quail,1
date jar,honey watchmaker,1
